BattSchedule_MW,SOC_percent,EnergyPriceDA_USDperMWh,EnergyProfit_USD,non_spinCapacity,non_spinPrice_USDperMW,non_spinRev_USD,spinCapacity,spinPrice_USDperMW,spinRev_USD,reg_downCapacity,reg_downPrice_USDperMW,reg_downRev_USD,reg_upCapacity,reg_upPrice_USDperMW,reg_upRev_USD,CapacityObligation
-0.01,1.00,51.79,-0.35,0.00,0.15,0.00,0.43,4.84,1.92,0.25,14.42,3.60,0.25,6.21,1.43,0.00
0.00,1.00,70.23,0.00,0.00,0.15,0.00,0.50,7.69,3.54,0.25,5.04,1.26,0.18,7.69,1.28,0.00
0.00,1.00,83.41,0.00,0.00,0.15,0.00,0.50,12.77,5.89,0.25,6.94,1.74,0.18,12.77,2.12,0.00
0.00,1.00,74.41,0.00,0.00,0.15,0.00,0.50,10.44,4.81,0.25,5.99,1.50,0.18,10.44,1.74,0.00
0.00,1.00,70.26,0.00,0.00,0.15,0.00,0.50,7.69,3.54,0.25,3.99,1.00,0.18,7.69,1.28,0.00
0.00,1.00,65.45,0.00,0.00,0.15,0.00,0.50,7.84,3.61,0.25,4.02,1.00,0.18,7.84,1.30,0.00
0.00,1.00,60.79,0.00,0.00,0.15,0.00,0.43,5.14,2.04,0.25,3.99,1.00,0.25,5.94,1.37,0.00
0.00,0.99,57.38,0.00,0.00,0.15,0.00,0.50,4.19,1.93,0.25,2.87,0.72,0.17,4.21,0.68,0.00
0.00,0.99,53.27,0.00,0.00,0.15,0.00,0.50,4.23,1.95,0.25,2.64,0.66,0.17,4.23,0.68,0.00
-0.01,0.99,49.63,-0.61,0.00,0.15,0.00,0.43,3.00,1.18,0.25,5.00,1.25,0.25,4.00,0.92,0.00
-0.01,1.00,47.87,-0.32,0.00,0.15,0.00,0.43,2.91,1.15,0.25,4.22,1.05,0.25,4.00,0.92,0.00
-0.01,1.00,45.56,-0.31,0.00,0.15,0.00,0.43,3.00,1.19,0.25,3.00,0.75,0.25,4.00,0.92,0.00
-0.01,1.00,44.90,-0.30,0.00,0.15,0.00,0.43,3.00,1.19,0.25,3.00,0.75,0.25,4.00,0.92,0.00
-0.01,1.00,44.71,-0.30,0.00,0.15,0.00,0.43,3.00,1.19,0.25,3.00,0.75,0.25,3.99,0.92,0.00
0.00,1.00,52.29,0.00,0.00,0.15,0.00,0.50,4.00,1.84,0.25,2.00,0.50,0.18,4.00,0.67,0.00
0.01,1.00,65.00,0.86,0.00,0.15,0.00,0.43,5.00,1.98,0.25,3.00,0.75,0.25,5.04,1.16,0.00
0.34,0.96,60.62,19.01,0.00,0.15,0.00,0.41,5.00,1.89,0.25,4.93,1.23,0.25,9.59,2.21,0.00
0.00,0.27,50.18,0.00,0.00,0.15,0.00,0.06,4.00,0.23,0.25,8.00,2.00,0.25,5.04,1.16,0.00
